일자,원/g_시가
2022-12-13,74880.0
2022-12-14,76010.0
2022-12-15,75370.0
2022-12-16,74410.0
2022-12-17,74410.0
2022-12-18,74410.0
2022-12-19,75210.0
2022-12-20,74890.0
2022-12-21,75380.0
2022-12-22,75040.0
2022-12-23,73600.0
2022-12-24,73600.0
2022-12-25,73600.0
2022-12-26,74420.0
2022-12-27,73850.0
2022-12-28,74150.0
2022-12-29,73560.0
2022-12-30,73560.0
2022-12-31,73560.0
2023-01-01,73560.0
2023-01-02,74290.0
2023-01-03,74810.0
2023-01-04,75110.0
2023-01-05,75900.0
2023-01-06,74800.0
2023-01-07,74800.0
2023-01-08,74800.0
2023-01-09,76190.0
2023-01-10,74800.0
2023-01-11,75110.0
2023-01-12,75210.0
2023-01-13,75970.0
2023-01-14,75970.0
2023-01-15,75970.0
2023-01-16,76590.0
2023-01-17,76130.0
2023-01-18,76020.0
2023-01-19,75800.0
2023-01-20,76600.0
2023-01-21,76600.0
2023-01-22,76600.0
2023-01-23,76600.0
2023-01-24,76600.0
2023-01-25,76920.0
2023-01-26,77130.0
2023-01-27,76380.0
2023-01-28,76380.0
2023-01-29,76380.0
2023-01-30,76340.0
2023-01-31,75870.0
2023-02-01,76360.0
2023-02-02,77340.0
2023-02-03,75060.0
2023-02-04,75060.0
2023-02-05,75060.0
2023-02-06,73830.0
2023-02-07,75220.0
2023-02-08,75570.0
2023-02-09,75990.0
2023-02-10,75460.0
2023-02-11,75460.0
2023-02-12,75460.0
2023-02-13,75800.0
2023-02-14,76140.0
2023-02-15,75690.0
2023-02-16,75720.0
2023-02-17,75820.0
2023-02-18,75820.0
2023-02-19,75820.0
2023-02-20,76870.0
2023-02-21,76700.0
2023-02-22,76470.0
2023-02-23,76610.0
2023-02-24,76030.0
2023-02-25,76030.0
2023-02-26,76030.0
2023-02-27,76030.0
2023-02-28,77300.0
2023-03-01,77300.0
2023-03-02,78160.0
2023-03-03,77730.0
2023-03-04,77730.0
2023-03-05,77730.0
2023-03-06,77560.0
2023-03-07,77000.0
2023-03-08,75780.0
